msa_name,msa_total,msa_white,msa_nonwhite,cc_total,cc_white,cc_nonwhite
"Manchester, NH",88370,88214,156,82732,82580,152
"Mansfield, OH",,,,,,
"Memphis, TN",482393,302208,180185,396000,248713,147287
"Miami, FL",495084,429688,65396,249276,208700,40576
"Milwaukee, WI",871047,847805,23242,637392,614650,22742
"Minneapolis, MN",1116509,1101208,15301,521718,513250,8468
"Mobile, AL",231105,153078,78027,129009,83095,45914
"Monroe, LA",,,,,,
"Montgomery, AL",138965,78339,60626,106525,63965,42560
"Muncie, IN",90252,85752,4500,58479,54039,4440
"New Haven, CT",264622,253690,10932,164443,154618,9825
"New London, CT",,,,,,
"New Orleans, LA",685405,484839,200566,570445,387763,182682
"New York, NY",12911994,11866482,1045512,7891957,7116428,775529
"Newburgh, NY",,,,,,
"Norfolk, VA",446200,323367,122833,213513,150057,63456
"Oklahoma City, OK",325352,297349,28003,243504,220838,22666
"Omaha, NE",366395,348480,17915,251117,234235,16882
"Orlando, FL",114950,92184,22766,52367,38980,13387
"Oshkosh, WI",,,,,,
"Owensboro, KY",,,,,,
"Parkersburg, WV",,,,,,
"Pensacola, FL",,,,,,
"Peoria, IL",250512,244005,6507,111856,105941,5915
"Philadelphia, PA",3671048,3186404,484644,2071605,1692637,378968
"Phoenix, AZ",331770,310586,21184,106818,100197,6621
"Pine Bluff, AR",,,,,,
"Pittsburgh, PA",2213236,2075972,137264,676806,593823,82983
"Pittsfield, MA",66567,65817,750,53348,52672,676
"Pocatello, ID",,,,,,
"Portland, ME",119942,119477,465,77634,77246,388
"Portland, OR",704829,688880,15949,373628,360388,13240
"Poughkeepsie, NY",,,,,,
"Providence, RI",737203,725718,11485,248674,239993,8681
"Provo, UT",,,,,,
"Pueblo, CO",90188,88276,1912,63685,62090,1595
"Racine, WI",109585,107705,1880,71193,69682,1511
"Rapid City, SD",,,,,,
"Reading, PA",255740,252336,3404,109320,106384,2936
"Reno, NV",,,,,,
"Richmond, VA",328050,240835,87215,230310,157223,73087
"Roanoke, VA",133407,115308,18099,91921,77334,14587
"Rochester, MN",,,,,,
"Rochester, NY",487632,479385,8247,332488,324643,7845
"Rockford, IL",152385,148412,3973,92927,90359,2568
"Rocky Mount, NC",,,,,,
"Sacramento, CA",277140,258899,18241,137572,126889,10683
"Saginaw, MI",153515,144332,9183,92918,84247,8671
"Salem, OR",,,,,,
"Salt Lake City, UT",274895,271024,3871,182121,179019,3102
"San Angelo, TX",58929,55898,3031,52093,49096,2997
"San Antonio, TX",500460,466909,33551,408442,378897,29545
"San Bernardino, CA",281642,273001,8641,63058,60931,2127
"San Diego, CA",556808,532958,23850,334387,316023,18364
"San Francisco, CA",2240767,2030225,210542,775357,693888,81469
"San Jose, CA",290547,280433,10114,95280,93231,2049
"Santa Ana, CA",,,,,,
"Santa Barbara, CA",,,,,,
"Santa Fe, NM",,,,,,
"Savannah, GA",151481,92934,58547,119638,71288,48350
"Scranton, PA",257396,256578,818,125536,124820,716
"Seattle, WA",732992,702477,30515,467591,440424,27167
"Sheboygan, WI",,,,,,
"Shreveport, LA",176547,110041,66506,127206,84958,42248
"Sioux City, IA",103917,102715,1202,83991,82793,1198
"Sioux Falls, SD",70910,70484,426,52696,52278,418
"South Bend, IN",205058,196227,8831,115911,107684,8227
"Spokane, WA",221561,218504,3057,161721,159022,2699
"Springfield, IL",131484,126954,4530,81628,77317,4311
"Springfield, MA",407255,399794,7461,162399,156128,6271
"Springfield, MO",104823,102620,2203,66731,64839,1892
"St. Cloud, MN",,,,,,
"St. Joseph, MO",96826,93644,3182,78588,75441,3147
"St. Louis, MO",1681281,1464826,216455,856796,702348,154448
"Stockton, CA",200750,181100,19650,70853,63549,7304
"Syracuse, NY",341719,335445,6274,220583,215525,5058
"Tacoma, WA",275876,267378,8498,143673,139246,4427
"Tallahassee, FL",,,,,,
"Tampa, FL",409143,352116,57027,124681,97284,27397
"Temple, TX",,,,,,
"Terre Haute, IN",105160,100718,4442,64214,60656,3558
"Toledo, OH",395551,368660,26891,303616,278266,25350
"Topeka, KS",105418,97656,7762,78791,72248,6543
"Trenton, NJ",229781,209154,20627,128009,113477,14532
"Tucson, AZ",,,,,,
"Tulsa, OK",251686,228690,22996,182740,164405,18335
"Tuscaloosa, AL",,,,,,
"Tyler, TX",,,,,,
"Utica, NY",284262,281667,2595,101531,99861,1670
"Vallejo, CA",,,,,,
"Waco, TX",130194,107813,22381,84706,70094,14612
"Washington, DC",1464089,1122206,341883,802178,518147,284031
"Waterloo, IA",100448,97741,2707,65198,62545,2653
"Wausau, WI",,,,,,
"West Palm Beach, FL",,,,,,
"Wheeling, WV",354092,342355,11737,58891,56883,2008
"Wichita Falls, TX",98493,92144,6349,68042,62074,5968
"Wichita, KS",222290,212144,10146,168279,159910,8369
"Williamsport, PA",,,,,,
"Wilmington, DE",268387,236298,32089,110356,93079,17277
"Wilmington, NC",,,,,,
"Winston-Salem, NC",146135,104693,41442,87811,51051,36760
"Yakima, WA",,,,,,
"York, PA",202737,198842,3895,59953,56799,3154
"Youngstown, OH",528498,493319,35179,168330,146783,21547
"Boise City, ID",,,,,,
"Columbus (remainder), GA",170541,116849,53692,79611,54767,24844
"Indianapolis (remainder), IN",551777,486503,65274,427173,363082,64091
"Jacksonville (remainder), FL",304029,222189,81840,204517,131988,72529
"Nashville-Davidson (remainder), TN",321758,257286,64472,174307,119581,54726
"Odessa, TX",,,,,,
"Panama City, FL",,,,,,
